13821,"9.9613612, 76.2885246","39 /4603, Sreekandath Road, Ravipuram",V.G.Saraf Memorial Hospital\n,Private,Hospital,Allopathic,"39 /4603, Sreekandath Road, Ravipuram",Kerala,Ernakulam,0,682016,0,0,0,0,0,0,0,0,0484 2370595,vgsarafhospital@gmail.com,0,http://vgsarafhospital.com/,Urology\nOrthopedics\nGeneral Surgery\nGynaecology\nLaparoscopic Surgery\nPlastic Surgery\nENT\nOphthalmology\nPediatrics\nAnesthesiology\nDental and Maxillo-facial surgery\n
13822,"9.9312328, 76.2673041",Kochi,Arya Vaidya Sala Kottakkal,0,0,0,Kochi,Kerala,Ernakulam,0,682001,0,0,0,0,0,0,0,0,0,0,0,0,0
13823,NA,"Changankulangara,Ooachira Post",R.C.P.M Hospital,0,0,0,"Changankulangara,Ooachira Post",Kerala,Ernakulam,0,682001,0,0,0,0,0,0,0,0,0,0,0,0,0
13824,"10.3903715, 76.1643006","Karanchira, Kattoor, Irinjalakuda Kochi",Bishop Alappatt Mission Hospital,0,0,0,"Karanchira, Kattoor, Irinjalakuda",Kerala,Ernakulam,0,682002,0,0,0,0,0,0,0,0,0,0,0,0,0
13825,"9.9463846, 76.2580499",Panayappilly,Goutham Hospital,0,0,0,Panayappilly,Kerala,Ernakulam,0,682002,0,0,0,0,0,0,0,0,0,0,0,0,0
13826,"9.9312328, 76.2673041",Dhanwanthari Nagar Moulana Azad Road Kappalandimukku Fort Cochin,West Side Hospital Pvt Ltd,0,0,0,Dhanwanthari Nagar Moulana Azad Road Kappalandimukku Fort Cochin,Kerala,Ernakulam,0,682002,0,0,0,0,0,0,0,0,0,0,0,0,0
13827,"9.9390337, 76.2616704","Opposite Government Hospital, Karuvelipady, Cochin",Jesus Hospital,0,0,0,"Opposite Government Hospital, Karuvelipady, Cochin",Kerala,Ernakulam,0,682005,0,0,0,0,0,0,0,0,0,0,0,0,0
13828,"9.9816358, 76.2998842",Capitol Road,K P M Eye Hospital,0,0,0,Capitol Road,Kerala,Ernakulam,0,682005,0,0,0,0,0,0,0,0,0,0,0,0,0
13829,"33.5588035, 133.5311675",Panepalli Kochi Kochi,Laxmi Hospital,0,0,0,Panepalli,Kerala,Ernakulam,0,682005,0,0,0,0,0,0,0,0,0,0,0,0,0
13830,NA,"Cultes Road,Perumpadappu,On Way To Kumbalangi Before Bridge",Fathima Hospital,0,0,0,"Cultes Road,Perumpadappu,On Way To Kumbalangi Before Bridge",Kerala,Ernakulam,0,682006,0,0,0,0,0,0,0,0,2238454,0,0,0,0
13831,"9.9087118, 76.2730412","23/2801-A,Palluruthy.",Our Lady Hospital,0,0,0,"# 23/2801-A,Palluruthy.",Kerala,Ernakulam,0,682006,0,0,0,0,0,0,0,0,0,0,0,0,0
13832,"9.9463846, 76.2580499","P.B. No. 868, Panayapilly, Kochi",Gautham Hospital,0,0,0,"P.B. No. 868, Panayapilly",Kerala,Ernakulam,0,682008,0,0,0,0,0,0,0,0,0,0,0,0,0
13833,"9.9816358, 76.2998842",Ernakulam,Chaitanya Eye Hospital and Research Instt,0,0,0,Ernakulam,Kerala,Ernakulam,0,682011,0,0,0,0,0,0,0,0,0,0,0,0,0
13834,"9.9816358, 76.2998842",Chlakudy,Dhanya Mission Hospital Potta,0,0,0,Chlakudy,Kerala,Ernakulam,0,682011,0,0,0,0,0,0,0,0,0,0,0,0,0
13835,"9.9816358, 76.2998842",T. D. Road,Dr Kunhalus Nursing Home,0,0,0,T. D. Road,Kerala,Ernakulam,0,682011,0,0,0,0,0,0,0,0,0,0,0,0,0
13836,"9.9717776, 76.2822336",Ernakulam,General Hospital,0,0,0,Ernakulam,Kerala,Ernakulam,0,682011,0,0,0,0,0,0,0,0,0,0,0,0,0
13837,"9.9780179, 76.2836547",40/952 Chittoor Road / Mg Road Kochi,Krishna Hospital,0,0,0,40/952 Chittoor Road / Mg Road,Kerala,Ernakulam,0,682011,0,0,0,0,0,0,0,0,0,0,0,0,0
13838,NA,"New Bridge Road, Nr, Tv Showroom, Day & Night Centre Sr",Sri Dwaraka Sai Childrens Hospital,0,0,0,"New Bridge Road, Nr, Tv Showroom , Day & Night Centre Sr",Kerala,Ernakulam,0,682011,0,0,0,0,0,0,0,0,0,0,0,0,0
13839,"9.9418718, 76.3467375",Hospital Road,Susrusha Nursing Home-Cochin,0,0,0,Hospital Road,Kerala,Ernakulam,0,682011,0,0,0,0,0,0,0,0,0,0,0,0,0
13840,"10.0065589, 76.2782693","Laurdes Hospital, Pachalam",Lourdes Hospital,0,0,0,"Laurdes Hospital, Pachalam",Kerala,Ernakulam,0,682012,0,0,0,0,0,0,0,0,0,0,0,0,0
13841,"9.9515134, 76.2976712","27/3215, Opp: Shipyard M G Road, Kochi",Vasan Eye Care Hospital,0,0,0,"27/3215, Opp: Shipyard M G Road, Kochi",Kerala,Ernakulam,0,682015,0,0,0,0,0,0,0,0,0,0,0,0,0
13842,"10.1340201, 76.4013471",Sreemoolanagaram,Aiswarya Clinic,0,0,0,Sreemoolanagaram,Kerala,Ernakulam,0,682016,0,0,0,0,0,0,0,0,0,0,0,0,0
